month_date_yyyymm,county_fips,county_name,cbsa_code,cbsa_title,hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,page_view_count_per_property_mm,page_view_count_per_property_yy,page_view_count_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
202502,39147,"seneca, oh",45660,"Tiffin, OH",938,34,34,-194,93.327126009,94.040968343,92.613283675,39.750000,-0.239234449761,-12.500000,-0.388461538462,-25.250000,-26.250000,0.134196928406,-0.364336707801,2.442819273000,159900,-0.03790613718,-0.0376166115,0.3881067961,0
202502,39041,"delaware, oh",18140,"Columbus, OH",321,35,35,9,93.202979516,87.461204221,98.944754811,47.000000,-0.342657342657,-24.500000,0.212903225806,8.250000,-19.000000,0.076332681950,-0.170532356796,3.189260066222,567700,0.03236952173,-0.02280747052,1.377912621,0
202502,51145,"powhatan, va",40060,"Richmond, VA",1442,36,36,19,93.016759777,90.813159528,95.220360025,43.500000,-0.167464114833,-8.750000,0.279411764706,9.500000,-22.500000,0.084431885034,-0.220662167205,2.629216262228,633125,0.02370798553,0.002176493866,1.536711165,0
202502,39039,"defiance, oh",19580,"Defiance, OH",1205,37,37,-192,93.016759777,92.489137182,93.544382371,41.000000,-0.261261261261,-14.500000,-0.338709677419,-21.000000,-25.000000,0.363586477653,-0.161768384701,2.507744124662,183650,0.01380071764,-0.121291866,0.4457524272,1
202502,44009,"washington, ri",39300,"Providence-Warwick, RI-MA",489,38,38,-45,92.985723153,87.399130975,98.572315332,47.250000,-0.317689530686,-22.000000,-0.025773195876,-1.250000,-18.750000,0.023767973589,-0.099216299664,3.091553471861,885975,0.04244617014,0.2670814116,2.150424757,0
202502,55101,"racine, wi",39540,"Racine-Mount Pleasant, WI",348,39,39,-69,92.95468653,95.530726257,90.378646803,38.000000,-0.269230769231,-14.000000,-0.131428571429,-5.750000,-28.000000,0.010926070638,-0.086493439204,2.318716951655,339945,0.01506419827,-0.01735799971,0.8251092233,0
202502,39153,"summit, oh",10420,"Akron, OH",121,40,40,-26,92.923649907,91.495965239,94.351334575,43.000000,-0.248908296943,-14.250000,0.102564102564,4.000000,-23.000000,0.221014268907,-0.082291736455,2.564396514135,199949.75,0.07240412979,0.06953597219,0.4853149272,0
202502,42029,"chester, pa",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",135,41,41,-164,92.892613284,95.530726257,90.25450031,38.000000,-0.364016736402,-21.750000,-0.296296296296,-16.000000,-28.000000,-0.064409322431,-0.075924136504,2.309161518313,601000,-0.0187755102,-0.01168099332,1.458737864,0
202502,34007,"camden, nj",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",137,42,42,1,92.799503414,97.206703911,88.392302917,36.000000,-0.217391304348,-10.000000,-0.020408163265,-0.750000,-30.000000,-0.078077444664,-0.233127059151,2.188192955859,337450,-0.006030240304,0.07984,0.8190533981,0
202502,44003,"kent, ri",39300,"Providence-Warwick, RI-MA",383,43,43,5,92.706393544,94.847920546,90.564866543,38.750000,-0.088235294118,-3.750000,0.083916083916,3.000000,-27.250000,-0.078412511176,-0.179372800733,2.323785045081,476175,-0.002618212285,0.1144461998,1.155764563,0
202502,56037,"sweetwater, wy",40540,"Rock Springs, WY",1168,44,44,-582,92.582247052,92.17877095,92.985723153,41.500000,-0.262222222222,-14.750000,-0.450331125828,-34.000000,-24.500000,-0.045905905513,0.094044070936,2.464920291575,331450,-0.002182584481,0.1681057269,0.8044902913,0
202502,39047,"fayette, oh",47920,"Washington Court House, OH",1464,45,45,11,92.364990689,90.25450031,94.475481068,44.500000,-0.226086956522,-13.000000,0.112500000000,4.500000,-21.500000,-0.082448300550,-0.251984507841,2.581574926069,231000,0.08962264151,-0.01208168502,0.5606796117,0
202502,34015,"gloucester, nj",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",248,45,45,-20,92.364990689,90.813159528,93.91682185,43.500000,-0.098445595855,-4.750000,-0.011363636364,-0.500000,-22.500000,0.006325472507,-0.235025451678,2.533986717067,372450,-0.00653507602,0.06421963299,0.9040048544,0
202502,18157,"tippecanoe, in",29200,"Lafayette-West Lafayette, IN",381,47,47,-89,92.302917443,95.530726257,89.075108628,38.000000,-0.258536585366,-13.250000,-0.240000000000,-12.000000,-28.000000,0.060175155588,-0.186981971587,2.242425061351,381175,-0.03008905852,0.0241133799,0.9251820388,0
